Time (as at),Aggregate Voter Turnout,Aggregate Voter Turnout Rate (%),Voter Turnout,Voter Turnout Rate (%)
08:30,157889,3.82,157889.0,3.82
09:30,430446,10.41,272557.0,6.59
10:30,720455,17.43,290009.0,7.02
11:30,1007100,24.37,286645.0,6.940000000000001
12:30,1280584,30.98,273484.0,6.609999999999999
13:30,1524675,36.89,244091.0,5.91
14:30,1746709,42.26,222034.0,5.369999999999997
15:30,1953121,47.26,206412.0,5.0
16:30,2154785,52.14,201664.0,4.880000000000003
17:30,2331968,56.42,177183.0,4.280000000000001
18:30,2494618,60.36,162650.0,3.9399999999999977
19:30,2630466,63.65,135848.0,3.289999999999999
20:30,2748244,66.5,117778.0,2.8500000000000014
21:30,2853608,69.04,105364.0,2.5400000000000063
22:30,2943842,71.23,90234.0,2.1899999999999977
